City,Image link,Taxes,weather,crime rate,access of local transport,Population density,Living Expenses,distance from other cities,Housing Costs (Rent),Traffic,Standard of Education
New York City,new_york_city.jpg,Above 8.7%,Cold humid,medium,road water metro,high,more than 100k,under 10 miles,above $700,high,Graduate
Los Angeles,la.jpg,Above 8.7%,dry humid,medium,road water metro air,high,more than 100k,under 10 miles,$200 to $700,high,Graduate
Houston,houston.jpg,7.5% to 8.7%,dry humid,high,road metro air,moderate,40k to 100k,10 to 50 miles,under $200,moderate,Graduate
kansas City,kansas_city.jpg,7.5% to 8.7%,dry humid,high,road,low,40k to 100k,10 to 50 miles,under $200,moderate,Graduate
Anchorage,anchorage.jpg,Under 7.5%,Cold humid dry,low,road air,high,40k to 100k,more than 100 miles,under $200,low,Graduate
Hattiesburg,hattiseburg.jpg,Under 7.5%,dry humid,medium,road,high,under 40k,10 to 50 miles,under $200,low,High School
Charleston,charleston.jpg,Above 8.7%,dry humid,low,road,moderate,40k to 100k,10 to 50 miles,$200 to $700,low,College
rock springs,rock_springs.jpg,Under 7.5%,dry,medium,road,low,40k to 100k,10 to 50 miles,under $200,low,College
Cerrilios,Cerrilios.jpg,Under 7.5%,dry cold,high,road,low,under 40k,more than 100 miles,under $200,low,High School
Grand Forks,grand_forks.jpg,Under 7.5%,cold humid,medium,road,low,under 40k,10 to 50 miles,under $200,low,College
San Francicso,sfo.jpg,7.5% to 8.7%,warm humid,high,road water metro,high,more than 100k,under 10 miles,above $700,high,Graduate
Norman,norman.jpg,Above 8.7%,cold humid,medium,road air,moderate,under 40k,10 to 50 miles,under $200,moderate,High School
Tampa,tampa.jpg,7.5% to 8.7%,hot humid,medium,road water metro,high,40k to 100k,under 10 miles,$200 to $700,high,College
Tuscon,tucson.jpg,7.5% to 8.7%,hot humid,medium,road air,moderate,40k to 100k,under 10 miles,under $200,moderate,Graduate
Rockford,rockford.jpg,7.5% to 8.7%,cold humid,medium,road water metro,moderate,40k to 100k,10 to 50 miles,under $200,moderate,High School
